Image,Tier,Image Name,Link
Social Posts,Base,social_base,/images/logos/social_base.png
Social Posts,Standard,social_standard,/images/logos/social_standard.png
Social Posts,Premium,social_premium,/images/logos/social_premium.png
Content,Base,content_base,/images/logos/content_base.png
Content,Standard,content_standard,/images/logos/content_standard.png
Content,Premium,content_premium,/images/logos/content_premium.png
Backlinks,Base,backlinks_base,/images/logos/backlinks_base.png
Backlinks,Standard,backlinks_standard,/images/logos/backlinks_standard.png
Backlinks,Premium,backlinks_premium,/images/logos/backlinks_premium.png
GBP Ranker,Base,gbp_base,/images/logos/gbp_base.png
GBP Ranker,Standard,gbp_standard,/images/logos/gbp_standard.png
GBP Ranker,Premium,gbp_premium,/images/logos/gbp_premium.png
SEO,Base,seo_base,/images/logos/seo_base.png
SEO,Standard,seo_standard,/images/logos/seo_standard.png
SEO,Premium,seo_premium,/images/logos/seo_premium.png
TikTok Ads,Base,tiktok_base,/images/logos/tiktok_base.png
TikTok Ads,Standard,tiktok_standard,/images/logos/tiktok_standard.png
TikTok Ads,Premium,tiktok_premium,/images/logos/tiktok_premium.png
Google Ads,Base,google_base,/images/logos/google_base.png
Google Ads,Standard,google_standard,/images/logos/google_standard.png
Google Ads,Premium,google_premium,/images/logos/google_premium.png
Meta Ads,Base,meta_base,/images/logos/meta_base.png
Meta Ads,Standard,meta_standard,/images/logos/meta_standard.png
Meta Ads,Premium,meta_premium,/images/logos/meta_premium.png
